Friday,12:54 PM,273,Mini Jazz Small Group,Splash N Go,High Pointe Performing Arts Studio
Friday,12:56 PM,274,Mini Jazz Small Group,Lip Gloss,DV8 Dance Complex - DV8 The Company
Friday,12:59 PM,275,Mini Contemporary Small Group,West End Girls,Elite Dance of Tulsa
Friday,1:01 PM,276,Junior Lyrical Solo,Ashes,Premier Dance
Friday,1:03 PM,277,Junior Lyrical Solo,Both Sides Now,Premier Dance
Friday,1:06 PM,278,Junior Lyrical Solo,Light A Fire,Radiant Dance Studio
Friday,1:08 PM,279,Junior Lyrical Solo,Songbird,Premier Dance
Friday,1:11 PM,280,Junior Lyrical Solo,This Girl,Premier Dance
Friday,1:13 PM,281,Junior Lyrical Solo,This,Premier Dance
Friday,1:16 PM,282,Mini Open Small Group,Telephone,Premier Dance
Friday,1:19 PM,283,Mini Open Small Group,Shades,River Valley Classical Ballet And Acrobatics
Friday,1:21 PM,284,Mini Open Small Group,American Pie,Elite Dance of Tulsa
Friday,1:24 PM,285,Mini Hip Hop Small Group,DJ Play That Song,DV8 Dance Complex - DV8 The Company
Friday,1:28 PM,286,Junior Lyrical Solo,Who You Are,Premier Dance
Friday,1:30 PM,287,Junior Contemporary Solo,Hit Me With Your Best Shot,DANCE est Joie
Friday,1:33 PM,288,Junior Lyrical Solo,Praying,Radiant Dance Studio
Friday,1:35 PM,289,Junior Lyrical Solo,I Don't Wanna Miss A Thing,Premier Dance
Friday,1:37 PM,290,Junior Lyrical Solo,The Truth,Premier Dance
Friday,1:40 PM,291,Junior Lyrical Solo,Fields of Gold,High Pointe Performing Arts Studio
Friday,1:42 PM,292,Junior Lyrical Solo,Dream,Premier Dance
Friday,1:45 PM,293,RevKids Open Large Group,Funky Monkey,Premier Dance
Friday,1:48 PM,294,Mini Jazz Small Group,Runaway Baby,High Pointe Performing Arts Studio
Friday,1:50 PM,295,Mini Jazz Small Group,You Should Be Dancin',Elite Dance of Tulsa
Friday,1:52 PM,296,Junior Open Solo,Human,DV8 Dance Complex - DV8 The Company
Friday,1:55 PM,297,Junior Open Solo,Hit Me With Your Best Shot,Premier Dance
Friday,1:57 PM,298,Junior Open Solo,Lovely,DV8 Dance Complex - DV8 The Company
Friday,2:00 PM,299,Junior Hip Hop Solo,Lane in the Rain,DV8 Dance Complex - DV8 The Company
Friday,2:03 PM,300,Junior Lyrical Solo,Believe,High Pointe Performing Arts Studio
Friday,2:05 PM,301,Junior Lyrical Solo,Somewhere Only We Know,Premier Dance
Friday,2:07 PM,302,Junior Lyrical Solo,Beautiful Ghost,High Pointe Performing Arts Studio
Friday,2:10 PM,303,RevKids Broadway Small Group,Rio,Premier Dance
Friday,2:12 PM,304,Junior Lyrical Solo,Never Grow Up,High Pointe Performing Arts Studio
Friday,2:15 PM,305,Junior Lyrical Solo,Wonderful World,Elite Dance of Tulsa
Friday,2:17 PM,306,Junior Lyrical Solo,Ring Of Fire,Elite Dance of Tulsa
Friday,2:20 PM,307,Junior Hip Hop Solo,Its Nicki,Elite Dance of Tulsa
Friday,2:22 PM,308,Junior Hip Hop Solo,TKO,Elite Dance of Tulsa
Friday,2:25 PM,309,Mini Lyrical Small Group,Learning To Fly,High Pointe Performing Arts Studio
Friday,2:27 PM,310,Mini Broadway Small Group,Hot Lunch Jam,DANCE est Joie
Friday,2:31 PM,311,Mini Broadway Small Group,Two Of A Kind,DV8 Dance Complex - DV8 The Company
Friday,2:34 PM,312,Mini Jazz Production,Out of This World,Premier Dance
Friday,2:40 PM,313,Junior Open Solo,Upon Our Shoulder,Premier Dance
Friday,2:43 PM,314,Junior Contemporary Solo,The Reason,DV8 Dance Complex - DV8 The Company
Friday,2:45 PM,315,Junior Open Solo,Dreamweaver,Premier Dance
Friday,2:48 PM,316,Junior Open Solo,I Remember,Elite Dance of Tulsa
Friday,2:50 PM,317,Junior Open Solo,Fractured Lines,Elite Dance of Tulsa
Friday,2:52 PM,318,Junior Open Solo,Paper Boat,Elite Dance of Tulsa
Friday,3:50 PM,319,Junior Lyrical Large Group,Daisies,Radiant Dance Studio
